id,name,genre,developers,publishers,releaseDates
29,Absolver,['Action role-playing'],['Sloclap'],['Devolver Digital'],"{'Japan': 'Aug 22, 2019', 'NorthAmerica': 'Aug 29, 2017', 'Europe': 'Aug 29, 2017', 'Australia': 'Aug 29, 2017'}"
30,Abyss: The Wraiths of Eden,['Hidden object'],['Artifex Mundi'],['Artifex Mundi'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Oct 20, 2017', 'Europe': 'Oct 20, 2017', 'Australia': 'Oct 20, 2017'}"
31,Abzû,"['Adventure', 'art']",['Giant Squid'],['505 Games'],"{'Japan': 'Aug 2, 2016', 'NorthAmerica': 'Aug 2, 2016', 'Europe': 'Aug 2, 2016', 'Australia': 'Aug 2, 2016'}"
32,Accel World vs. Sword Art Online: Millennium Twilight,[],['Artdink'],['Bandai Namco Entertainment'],"{'Japan': 'Mar 16, 2017', 'NorthAmerica': 'Jul 7, 2017', 'Europe': 'Jul 7, 2017', 'Australia': 'Jul 7, 2017'}"
33,Ace Combat 7: Skies Unknown,[],['Project Aces'],['Bandai Namco Entertainment'],"{'Japan': 'Jan 18, 2019', 'NorthAmerica': 'Jan 18, 2019', 'Europe': 'Jan 18, 2019', 'Australia': 'Jan 18, 2019'}"
34,A Certain Magical Virtual-On,[],['Sega'],['Sega'],"{'Japan': 'Feb 15, 2018', 'NorthAmerica': 'Unreleased', 'Europe': 'Unreleased', 'Australia': 'Unreleased'}"
35,Achtung! Cthulhu Tactics,['Tactical role-playing'],['Auroch Digital'],['Ripstone'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Nov 21, 2018', 'Europe': 'Nov 20, 2018', 'Australia': 'Nov 20, 2018'}"
36,Act It Out! A Game of Charades,[],['Snap Finger Click'],['Snap Finger Click'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jan 12, 2016', 'Europe': 'Jan 5, 2016', 'Australia': 'Jan 5, 2016'}"
37,Action Henk,[],['RageSquid'],['Curve Digital'],"{'Japan': 'Mar 9, 2016', 'NorthAmerica': 'Mar 8, 2016', 'Europe': 'Mar 8, 2016', 'Australia': 'Mar 8, 2016'}"
38,Adios Amigos,[],['Cosmic Picnic'],['Cosmic Picnic'],"{'Japan': 'TBA', 'NorthAmerica': 'TBA', 'Europe': 'TBA', 'Australia': 'TBA'}"
